state,crop,year,yield,rainfall,temperature,humidity,n_req_kg_per_ha,p_req_kg_per_ha,k_req_kg_per_ha,n,p,k,ph,temperature_nasa,rainfall_nasa,humidity_nasa
andhra pradesh,maize,1995,3009.6422222222222,800.0,22.0,70.0,81.26034,36.11570666666667,51.16391777777778,78.0,45.0,22.0,6.8,27.335,943.52,71.72250000000001
andhra pradesh,maize,1996,3996.182222222222,800.0,22.0,70.0,107.89692,47.95418666666667,67.93509777777778,78.0,45.0,22.0,6.8,27.741666666666664,1035.1,69.48833333333333
andhra pradesh,maize,1997,2944.928888888889,800.0,22.0,70.0,79.51308,35.339146666666664,50.06379111111111,78.0,45.0,22.0,6.8,28.239166666666662,1061.76,67.78166666666667
andhra pradesh,maize,1998,3293.726666666667,800.0,22.0,70.0,88.93062,39.52472,55.99335333333333,78.0,45.0,22.0,6.8,28.304166666666664,874.96,69.75666666666667
andhra pradesh,maize,1999,3669.130909090909,800.0,22.0,70.0,99.06653454545454,44.029570909090914,62.37522545454545,78.0,45.0,22.0,6.8,28.271666666666665,489.34,64.115
andhra pradesh,maize,2000,3590.452727272728,800.0,22.0,70.0,96.94222363636364,43.08543272727273,61.03769636363637,78.0,45.0,22.0,6.8,27.813333333333333,968.01,69.265
andhra pradesh,maize,2001,4428.016363636364,800.0,22.0,70.0,119.55644181818182,53.136196363636365,75.27627818181817,78.0,45.0,22.0,6.8,28.26,822.89,66.48666666666666
andhra pradesh,maize,2002,3580.838,800.0,22.0,70.0,96.682626,42.970056,60.87424599999999,78.0,45.0,22.0,6.8,28.361666666666665,735.8900000000001,66.395
andhra pradesh,maize,2003,3377.17,800.0,22.0,70.0,91.18359,40.52604,57.41189,78.0,45.0,22.0,6.8,28.42833333333333,751.63,66.89
andhra pradesh,maize,2004,4626.862727272727,800.0,22.0,70.0,124.92529363636363,55.522352727272725,78.65666636363636,78.0,45.0,22.0,6.8,27.83,683.07,68.0125
andhra pradesh,maize,2005,5656.499090909091,800.0,22.0,70.0,152.72547545454543,67.87798909090908,96.16048454545454,78.0,45.0,22.0,6.8,27.891666666666666,1058.68,70.065
andhra pradesh,maize,2006,5714.56,800.0,22.0,70.0,154.29312000000002,68.57472,97.14752,78.0,45.0,22.0,6.8,27.756666666666664,1095.2,69.35833333333333
andhra pradesh,maize,2007,6290.119999999999,800.0,22.0,70.0,169.83324000000002,75.48144,106.93204,78.0,45.0,22.0,6.8,27.429166666666664,993.31,71.05
andhra pradesh,maize,2008,6438.663636363636,800.0,22.0,70.0,173.8439181818182,77.26396363636364,109.4572818181818,78.0,45.0,22.0,6.8,27.938333333333333,957.36,68.18166666666666
andhra pradesh,maize,2009,5955.252727272728,800.0,22.0,70.0,160.79182363636363,71.46303272727272,101.23929636363636,78.0,45.0,22.0,6.8,28.409166666666664,799.56,66.82083333333334
andhra pradesh,maize,2010,6981.683636363637,800.0,22.0,70.0,188.50545818181817,83.78020363636364,118.68862181818182,78.0,45.0,22.0,6.8,27.9275,1253.24,72.31583333333333
andhra pradesh,maize,2011,6014.424545454545,800.0,22.0,70.0,162.38946272727273,72.17309454545455,102.24521727272727,78.0,45.0,22.0,6.8,28.33,561.73,65.26916666666666
andhra pradesh,maize,2012,5808.445454545455,800.0,22.0,70.0,156.82802727272727,69.70134545454545,98.74357272727272,78.0,45.0,22.0,6.8,28.27333333333333,885.7,66.21
andhra pradesh,maize,2013,6104.06,800.0,22.0,70.0,164.80962,73.24871999999999,103.76902,78.0,45.0,22.0,6.8,27.691666666666663,1052.23,69.63250000000001
andhra pradesh,maize,2014,5952.67090909091,800.0,22.0,70.0,160.72211454545456,71.4320509090909,101.19540545454548,78.0,45.0,22.0,6.8,28.26833333333333,710.77,65.44583333333334
andhra pradesh,maize,2015,5368.857272727273,800.0,22.0,70.0,144.95914636363636,64.42628727272728,91.27057363636364,78.0,45.0,22.0,6.8,28.352500000000003,671.24,65.745
andhra pradesh,maize,2016,6051.683636363637,800.0,22.0,70.0,163.3954581818182,72.62020363636363,102.8786218181818,78.0,45.0,22.0,6.8,28.305833333333336,741.02,65.38250000000001
andhra pradesh,maize,2017,7010.646363636363,800.0,22.0,70.0,189.28745181818184,84.12775636363637,119.1809881818182,78.0,45.0,22.0,6.8,28.301666666666662,845.83,67.44916666666667
andhra pradesh,rice,1981,1984.9781818181816,1200.0,25.0,80.0,49.62445454545455,23.81973818181818,43.669520000000006,78.0,45.0,22.0,6.8,27.727500000000003,972.99,68.59916666666668
andhra pradesh,rice,1982,2006.8818181818183,1200.0,25.0,80.0,50.17204545454546,24.08258181818181,44.1514,78.0,45.0,22.0,6.8,27.97083333333333,816.74,67.57333333333334
andhra pradesh,rice,1983,2091.5790909090906,1200.0,25.0,80.0,52.28947727272728,25.09894909090909,46.01474,78.0,45.0,22.0,6.8,28.19333333333333,820.74,67.2925
andhra pradesh,rice,1984,1907.770909090909,1200.0,25.0,80.0,47.694272727272725,22.89325090909091,41.97096,78.0,45.0,22.0,6.8,28.4725,537.16,63.56333333333333
andhra pradesh,rice,1985,2210.610909090909,1200.0,25.0,80.0,55.26527272727273,26.527330909090907,48.63344,78.0,45.0,22.0,6.8,28.000833333333333,669.94,65.21833333333333
andhra pradesh,rice,1986,2005.2127272727275,1200.0,25.0,80.0,50.13031818181818,24.062552727272728,44.11468,78.0,45.0,22.0,6.8,28.394166666666667,549.7,64.37666666666667
andhra pradesh,rice,1987,2142.156363636364,1200.0,25.0,80.0,53.55390909090909,25.705876363636364,47.12744,78.0,45.0,22.0,6.8,28.185,942.88,66.24916666666667
andhra pradesh,rice,1988,2539.502727272727,1200.0,25.0,80.0,63.48756818181818,30.47403272727273,55.86906,78.0,45.0,22.0,6.8,28.246666666666663,729.52,66.8525
andhra pradesh,rice,1989,2402.7927272727275,1200.0,25.0,80.0,60.069818181818185,28.833512727272726,52.86144000000001,78.0,45.0,22.0,6.8,28.10166666666667,773.1400000000001,64.75083333333333
andhra pradesh,rice,1990,2394.454545454545,1200.0,25.0,80.0,59.86136363636364,28.733454545454546,52.678,78.0,45.0,22.0,6.8,28.0725,877.89,68.06083333333333
andhra pradesh,rice,1991,2381.0063636363634,1200.0,25.0,80.0,59.52515909090909,28.572076363636366,52.38214,78.0,45.0,22.0,6.8,27.9225,1038.93,69.27
andhra pradesh,rice,1992,2398.030909090909,1200.0,25.0,80.0,59.95077272727272,28.776370909090907,52.75668,78.0,45.0,22.0,6.8,27.723333333333333,829.3399999999999,67.62083333333332
andhra pradesh,rice,1993,2649.496363636364,1200.0,25.0,80.0,66.23740909090908,31.793956363636365,58.288920000000005,78.0,45.0,22.0,6.8,28.09166666666667,715.8199999999999,66.38083333333334
andhra pradesh,rice,1994,2408.2018181818185,1200.0,25.0,80.0,60.205045454545456,28.89842181818182,52.98044,78.0,45.0,22.0,6.8,27.99666666666667,1160.23,67.88666666666667
andhra pradesh,rice,1995,2443.7936363636363,1200.0,25.0,80.0,61.094840909090905,29.32552363636364,53.76346,78.0,45.0,22.0,6.8,27.335,943.52,71.72250000000001
andhra pradesh,rice,1996,2547.8881818181817,1200.0,25.0,80.0,63.69720454545454,30.57465818181818,56.05354,78.0,45.0,22.0,6.8,27.741666666666664,1035.1,69.48833333333333
andhra pradesh,rice,1997,2306.244545454545,1200.0,25.0,80.0,57.65611363636364,27.674934545454548,50.73738,78.0,45.0,22.0,6.8,28.239166666666662,1061.76,67.78166666666667
andhra pradesh,rice,1998,2659.7381818181816,1200.0,25.0,80.0,66.49345454545454,31.91685818181818,58.51424,78.0,45.0,22.0,6.8,28.304166666666664,874.96,69.75666666666667
andhra pradesh,rice,1999,2584.533636363636,1200.0,25.0,80.0,64.61334090909091,31.014403636363635,56.85974,78.0,45.0,22.0,6.8,28.271666666666665,489.34,64.115
