state,year,temperature_nasa,rainfall_nasa,humidity_nasa
bihar,2013,25.099999999999998,931.5799999999999,60.66083333333333
bihar,2014,25.411666666666665,1077.23,59.29750000000001
bihar,2015,26.365,947.21,56.20583333333334
bihar,2016,26.44333333333333,1082.03,57.984166666666674
bihar,2017,26.280833333333334,1046.26,59.81666666666666
chhattisgarh,1981,25.631666666666664,1500.6100000000001,60.596666666666664
chhattisgarh,1982,25.950833333333335,1592.63,64.26166666666667
chhattisgarh,1983,26.368333333333336,971.8199999999999,54.060833333333335
chhattisgarh,1984,26.171666666666667,1110.81,56.25
chhattisgarh,1985,26.595,1138.5700000000002,54.663333333333334
chhattisgarh,1986,26.140833333333333,1329.74,59.675000000000004
chhattisgarh,1987,26.651666666666667,895.83,55.03
chhattisgarh,1988,27.4325,667.23,49.765833333333326
chhattisgarh,1989,26.390833333333333,1187.97,51.01333333333333
chhattisgarh,1990,25.768333333333334,1481.67,62.64833333333333
chhattisgarh,1991,26.295833333333334,1005.72,57.524166666666666
chhattisgarh,1992,26.444166666666664,1058.8799999999999,52.403333333333336
chhattisgarh,1993,26.3225,1310.97,54.01083333333333
chhattisgarh,1994,26.016666666666666,1585.17,58.91916666666666
chhattisgarh,1995,25.94333333333333,1234.08,60.54666666666666
chhattisgarh,1996,26.537499999999998,982.7,56.044999999999995
chhattisgarh,1997,26.099166666666665,1229.92,57.67583333333334
chhattisgarh,1998,26.458333333333332,899.42,61.01666666666667
chhattisgarh,1999,26.352500000000003,1026.95,55.705000000000005
chhattisgarh,2000,26.372500000000002,867.56,51.19
chhattisgarh,2001,26.215,1213.96,57.001666666666665
chhattisgarh,2002,26.839166666666667,805.0,52.880833333333335
chhattisgarh,2003,26.551666666666666,1432.96,57.92416666666667
chhattisgarh,2004,25.775000000000002,1038.81,61.318333333333335
chhattisgarh,2005,26.174166666666665,1526.21,58.634166666666665
chhattisgarh,2006,26.268333333333334,1114.45,59.94416666666667
chhattisgarh,2007,26.234166666666667,1423.87,58.49916666666667
chhattisgarh,2008,25.91416666666667,1042.3400000000001,59.41083333333333
chhattisgarh,2009,27.16333333333333,1075.6200000000001,54.0
chhattisgarh,2010,27.075,1195.17,56.737500000000004
chhattisgarh,2011,25.545833333333334,1521.78,62.225
chhattisgarh,2012,26.0,1537.49,59.340833333333336
chhattisgarh,2013,25.834166666666665,1643.8200000000002,63.14083333333334
chhattisgarh,2014,25.853333333333335,1245.41,62.6275
chhattisgarh,2015,26.191666666666666,1145.3500000000001,61.156666666666666
chhattisgarh,2016,26.666666666666668,1251.52,58.04333333333333
chhattisgarh,2017,26.548333333333332,1172.14,57.87166666666667
gujarat,1981,26.505,805.6099999999999,54.53
gujarat,1982,26.864166666666666,612.11,49.95166666666666
gujarat,1983,26.314999999999998,538.07,48.862500000000004
gujarat,1984,26.641666666666666,470.04,43.155
gujarat,1985,27.3475,339.53,43.321666666666665
gujarat,1986,27.346666666666664,197.54,39.770833333333336
gujarat,1987,28.123333333333335,228.19,39.68333333333334
gujarat,1988,27.3275,789.2299999999999,50.3325
gujarat,1989,27.161666666666665,409.65,45.193333333333335
gujarat,1990,27.349999999999998,519.71,49.62583333333333
gujarat,1991,27.625833333333333,322.55,42.29083333333333
gujarat,1992,26.849999999999998,524.41,48.45916666666667
gujarat,1993,27.72666666666667,429.22,46.34583333333333
gujarat,1994,26.41,976.59,51.28666666666667
gujarat,1995,27.6725,304.66,43.44166666666666
gujarat,1996,27.128333333333334,526.01,47.564166666666665
gujarat,1997,26.491666666666664,721.84,50.73333333333333
gujarat,1998,27.229166666666668,620.51,50.61666666666667
gujarat,1999,27.7625,318.58000000000004,44.33583333333333
gujarat,2000,27.670833333333334,366.69,43.29583333333333
gujarat,2001,27.296666666666667,394.01000000000005,44.9475
gujarat,2002,27.78,331.09,42.513333333333335
gujarat,2003,26.756666666666664,816.01,50.84916666666666
gujarat,2004,26.995833333333334,685.51,51.70916666666667
gujarat,2005,26.257500000000004,828.2299999999999,52.07749999999999
gujarat,2006,26.75583333333333,833.6999999999999,55.11166666666667
gujarat,2007,26.7175,1135.99,56.169999999999995
gujarat,2008,26.4725,679.01,51.92083333333333
gujarat,2009,27.587500000000002,583.07,49.348333333333336
gujarat,2010,26.764166666666668,1214.06,58.0425
gujarat,2011,26.53333333333333,787.14,55.296666666666674
gujarat,2012,26.760833333333334,411.44,48.88916666666666
gujarat,2013,26.045833333333334,1071.71,55.63999999999999
gujarat,2014,26.97083333333333,539.61,50.645
gujarat,2015,27.345,657.8,49.23833333333334
gujarat,2016,27.296666666666667,465.96000000000004,49.97
gujarat,2017,26.713333333333335,923.8,52.1175
haryana,1981,25.5325,620.19,44.153333333333336
haryana,1982,24.715833333333332,756.84,46.29333333333333
haryana,1983,25.20583333333333,500.71,38.594166666666666
haryana,1984,25.58583333333333,461.65000000000003,34.431666666666665
haryana,1985,25.810833333333335,502.18,37.26916666666667
haryana,1986,25.800833333333333,316.98,34.39416666666667
haryana,1987,27.0925,253.82,29.525833333333335
haryana,1988,26.224999999999998,674.21,40.2975
haryana,1989,26.123333333333335,256.45,31.339166666666667
haryana,1990,25.86583333333333,591.89,41.96666666666667
haryana,1991,26.248333333333335,419.0,33.29833333333333
haryana,1992,25.813333333333333,385.63,37.69916666666666
haryana,1993,26.319999999999997,470.35,33.545
haryana,1994,25.834999999999997,597.8000000000001,38.8025
haryana,1995,25.46166666666667,657.64,41.2175
haryana,1996,25.520833333333332,567.5,38.92250000000001
haryana,1997,24.815833333333334,683.51,43.583333333333336
haryana,1998,25.4375,640.6,44.49666666666667
haryana,1999,27.314999999999998,240.23999999999998,30.418333333333333
haryana,2000,26.709999999999997,314.48,31.545
haryana,2001,26.144166666666667,544.47,36.255
haryana,2002,27.147499999999997,338.29,33.06333333333333
haryana,2003,25.4325,712.1500000000001,43.995000000000005
haryana,2004,26.665833333333335,436.75,38.123333333333335
haryana,2005,25.448333333333334,598.64,42.916666666666664
haryana,2006,26.646666666666665,394.82,39.80833333333333
haryana,2007,26.10166666666667,575.4499999999999,41.56583333333333
haryana,2008,25.272499999999997,707.4399999999999,45.531666666666666
haryana,2009,26.514166666666668,441.78000000000003,38.0525
haryana,2010,26.095,695.62,44.4675
haryana,2011,25.276666666666667,603.48,47.74
haryana,2012,25.41333333333333,470.47,38.4
haryana,2013,24.979166666666668,763.26,47.56666666666666
haryana,2014,25.670833333333334,377.69,39.215833333333336
haryana,2015,25.31583333333333,632.64,43.175000000000004
haryana,2016,26.400000000000002,548.63,37.6825
haryana,2017,25.873333333333335,528.0699999999999,40.015
himachal pradesh,1981,20.589166666666667,1147.1,49.925000000000004
himachal pradesh,1982,20.103333333333335,1171.3200000000002,50.32833333333334
himachal pradesh,1983,20.941666666666666,449.94,39.82416666666667
himachal pradesh,1984,21.023333333333333,657.62,41.244166666666665
himachal pradesh,1985,21.1475,803.6899999999999,42.9725
himachal pradesh,1986,21.076666666666668,455.42,40.23416666666667
himachal pradesh,1987,22.179999999999996,463.46000000000004,33.63833333333333
himachal pradesh,1988,21.745,820.0999999999999,43.379999999999995
himachal pradesh,1989,21.005,714.51,39.175000000000004
himachal pradesh,1990,21.074166666666667,881.51,48.27583333333333
himachal pradesh,1991,21.084166666666665,869.96,41.00333333333333
himachal pradesh,1992,20.629166666666666,715.74,45.336666666666666
himachal pradesh,1993,20.9225,1060.3600000000001,43.29333333333333
himachal pradesh,1994,20.855833333333333,1169.93,47.48916666666667
himachal pradesh,1995,20.601666666666667,992.96,47.855
himachal pradesh,1996,20.493333333333336,1170.28,48.82749999999999
himachal pradesh,1997,20.0425,987.88,49.67333333333334
himachal pradesh,1998,21.200833333333332,962.44,47.0
himachal pradesh,1999,22.27,572.77,36.623333333333335
himachal pradesh,2000,21.474999999999998,869.44,40.699999999999996
himachal pradesh,2001,21.358333333333334,919.97,42.634166666666665
himachal pradesh,2002,22.160833333333333,721.33,39.98083333333333
himachal pradesh,2003,21.036666666666665,1058.12,47.78
