state,crop,year,yield,rainfall,temperature,humidity,n_req_kg_per_ha,p_req_kg_per_ha,k_req_kg_per_ha,n,p,k,ph,temperature_nasa,rainfall_nasa,humidity_nasa,nutrient_stress,nutrient_stress_norm,temp_anomaly_norm,rain_anomaly_norm,heat_stress,drought_stress,temp_volatility_norm,rain_volatility_norm,climate_stress,climate_stress_norm,disease_risk_score,disease_risk_norm,mean_yield,yield_anomaly,yield_volatility,yield_volatility_norm,stability_score,agro_stress_index,stress_interaction,resilience_score,intervention_priority,fragile_system
punjab,maize,2015,3769.548888888889,800.0,22.0,70.0,101.77782,45.23458666666667,64.08233111111112,150.0,50.0,40.0,8.0,24.683333333333334,824.87,47.68333333333334,77.06992444444444,0.26047026186898703,-0.48921451481038725,0.6986762129307176,0,0,0.1585623060682053,0.3082556485693074,1.6547086823786175,0.2899206429495279,0,0.0,2628.931383224133,1140.6175056647562,885.7327159844823,0.45689663122916674,0.5431033687708333,0.220156361927406,0.07551570579028863,0.42353570695172826,Low Priority,0
punjab,maize,2016,3510.897,800.0,22.0,70.0,94.794219,42.130764,59.685249,150.0,50.0,40.0,8.0,26.029166666666665,630.86,39.55916666666666,82.760266,0.27970169054604443,0.4502704232438223,0.14413411532768694,0,0,0.5432026926535464,0.3125027951647835,1.4501100263898392,0.2540730194236707,0,0.0,2628.931383224133,881.9656167758671,885.7327159844823,0.45689663122916674,0.5431033687708333,0.21350988398788606,0.07106465305493868,0.4271454315111426,Low Priority,0
punjab,maize,2017,3841.326666666667,800.0,22.0,70.0,103.71582,46.09592,65.30255333333334,150.0,50.0,40.0,8.0,25.226666666666663,787.4000000000001,44.32083333333333,75.49081333333334,0.25513340073156854,-0.10993019306961875,0.5915750717669348,0,0,0.5473666966375342,0.18662091930315228,1.43549288077724,0.2515119569845713,0,0.0,2628.931383224133,1212.395283442534,885.7327159844823,0.45689663122916674,0.5431033687708333,0.20265814308645594,0.06416910091012566,0.4330390485517375,Low Priority,0
punjab,rice,1981,2991.192727272728,1200.0,25.0,80.0,74.77981818181819,35.89431272727273,65.80624,150.0,50.0,40.0,8.0,24.92083333333333,754.0,44.715,115.1321090909091,0.8345921334487455,-0.3234230551537638,0.49610728113788843,0,0,0.0,0.0,0.8195303362916522,0.14435478855472494,0,0.0,3492.7400000000002,-501.54727272727223,360.32150189512896,0.5758144811853431,0.42418551881465694,0.3915787688013882,0.12047737095343045,0.2580834756138355,Moderate Priority,0
punjab,rice,1982,3156.2136363636364,1200.0,25.0,80.0,78.90534090909091,37.87456363636364,69.4367,150.0,50.0,40.0,8.0,24.145,821.6,46.94916666666666,112.65679545454546,0.8166485961936756,-0.8650084900320721,0.6893295160637422,0,0,0.0,0.0,1.5543380060958143,0.2737862459464633,0,0.0,3492.7400000000002,-336.52636363636384,360.32150189512896,0.5758144811853431,0.42418551881465694,0.43617393685605554,0.22358715340931565,0.2391668511159396,High Priority,1
punjab,rice,1983,3104.449090909091,1200.0,25.0,80.0,77.61122727272728,37.25338909090909,68.29788,150.0,50.0,40.0,8.0,25.021666666666665,350.88,36.0375,113.43326363636363,0.8222772105006281,-0.2530344003521785,-0.6561375020471728,0,1,0.4696148912270208,0.5418688825240923,2.9206556761504645,0.5144539669875209,0,0.0,3492.7400000000002,-388.2909090909093,360.32150189512896,0.5758144811853431,0.42418551881465694,0.5346924709952596,0.4230237729054809,0.19737671559924183,High Priority,1
punjab,rice,1984,3108.296363636364,1200.0,25.0,80.0,77.7074090909091,37.29955636363636,68.38252,150.0,50.0,40.0,8.0,24.7975,629.12,38.41333333333333,113.37555454545455,0.8218588775639564,-0.409518269291238,0.13916064360030547,0,0,0.3866549189482357,0.4426518045306313,1.3779856363704106,0.24272295528412025,0,0.0,3492.7400000000002,-384.4436363636364,360.32150189512896,0.5758144811853431,0.42418551881465694,0.42583273313923065,0.19948401558881343,0.24355343997972903,Moderate Priority,0
punjab,rice,1985,3167.166363636364,1200.0,25.0,80.0,79.1791590909091,38.00599636363636,69.67766,150.0,50.0,40.0,8.0,25.245833333333334,586.24,39.42583333333334,112.49250454545455,0.81545765214334,-0.09655053141311644,0.01659600700828468,0,0,0.40604906569859406,0.3866128423612378,0.905808446481233,0.15955210072461376,0,0.0,3492.7400000000002,-325.57363636363607,360.32150189512896,0.5758144811853431,0.42418551881465694,0.39000390114718153,0.13010798145143124,0.25875151166679955,Moderate Priority,0
punjab,rice,1986,3321.162727272728,1200.0,25.0,80.0,83.02906818181818,39.85395272727273,73.06558,150.0,50.0,40.0,8.0,24.87333333333333,462.95,37.958333333333336,110.1825590909091,0.79871286808369,-0.3565813470850885,-0.3358059063646222,0,0,0.40392261014269265,0.37867237487372307,1.4749822384661264,0.25980825812893266,0,0.0,3492.7400000000002,-171.57727272727243,360.32150189512896,0.5758144811853431,0.42418551881465694,0.4234084504850491,0.20751219900198747,0.24458178557514643,Moderate Priority,0
punjab,rice,1987,3103.4045454545453,1200.0,25.0,80.0,77.58511363636363,37.24085454545455,68.2749,150.0,50.0,40.0,8.0,26.314166666666665,333.29,30.676666666666662,113.44893181818182,0.8223907890791337,0.649220174831773,-0.7064152995670806,1,1,0.6057175634674736,0.2851053070135679,4.246458344879895,0.7479852414681486,0,0.0,3492.7400000000002,-389.3354545454549,360.32150189512896,0.5758144811853431,0.42418551881465694,0.628150412218913,0.615136172950537,0.15773321031393672,High Priority,1
punjab,rice,1988,2753.740909090909,1200.0,25.0,80.0,68.84352272727273,33.04489090909091,60.5823,150.0,50.0,40.0,8.0,25.77916666666667,651.71,39.766666666666666,118.69388636363635,0.8604114406462492,0.2757530972894822,0.20373002654372324,0,0,0.6275480149643857,0.28356583129437335,1.3905969700919647,0.2449443573874344,0,0.0,3492.7400000000002,-738.9990909090911,360.32150189512896,0.5758144811853431,0.42418551881465694,0.44214231921347347,0.21075292741789214,0.23663514974917405,High Priority,1
punjab,rice,1989,3457.4818181818187,1200.0,25.0,80.0,86.43704545454545,41.48978181818182,76.0646,150.0,50.0,40.0,8.0,25.3125,407.48,34.355,108.13777272727272,0.7838902210641112,-0.050012577825291914,-0.49435675505304083,0,0,0.543570579378561,0.27656886999327046,1.3645087822501643,0.24034909755029416,0,0.0,3492.7400000000002,-35.25818181818158,360.32150189512896,0.5758144811853431,0.42418551881465694,0.4096957274457622,0.18840730721125973,0.25039852411192803,Moderate Priority,0
punjab,rice,1990,3171.6245454545456,1200.0,25.0,80.0,79.29061363636364,38.05949454545455,69.77574,150.0,50.0,40.0,8.0,25.28,657.13,43.26333333333333,112.4256318181818,0.814972892048482,-0.07269983019935565,0.21922210514280785,0,0,0.5398605210350634,0.3110896399923933,1.1428720963696202,0.2013092774125441,0,0.0,3492.7400000000002,-321.11545454545467,360.32150189512896,0.5758144811853431,0.42418551881465694,0.4065128677844105,0.1640616040090912,0.2517486470886927,Moderate Priority,0
